rank,Youtuber,subscribers,video views,Title,uploads,Country,channel_type,video_views_rank,country_rank,channel_type_rank,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
1,t-series,245000000,228000000000.0,t-series,20082,india,music,1.0,1.0,1.0,564600.0,9000000.0,6800000.0,108400000.0,2006.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
3,mrbeast,166000000,28368841870.0,mrbeast,741,united states,entertainment,48.0,1.0,1.0,337000.0,5400000.0,4000000.0,64700000.0,2012.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
4,cocomelon - nursery rhymes,162000000,164000000000.0,cocomelon - nursery rhymes,966,united states,education,2.0,2.0,1.0,493800.0,7900000.0,5900000.0,94800000.0,2006.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
5,set india,159000000,148000000000.0,set india,116536,india,entertainment,3.0,2.0,2.0,455900.0,7300000.0,5500000.0,87500000.0,2006.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
7,ýýý kids diana show,112000000,93247040539.0,ýýý kids diana show,1111,united states,entertainment,5.0,3.0,3.0,182900.0,2900000.0,2200000.0,35100000.0,2015.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
8,pewdiepie,111000000,29058044447.0,pewdiepie,4716,japan,entertainment,44.0,1.0,4.0,9800.0,156700.0,117600.0,1900000.0,2010.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
9,like nastya,106000000,90479060027.0,like nastya vlog,493,russia,people,630.0,5.0,25.0,12200.0,195800.0,146800.0,2300000.0,2016.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
10,vlad and niki,98900000,77180169894.0,vlad and niki,574,united states,entertainment,8.0,5.0,6.0,145100.0,2300000.0,1700000.0,27900000.0,2018.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
11,zee music company,96700000,57856289381.0,zee music company,8548,india,music,12.0,3.0,2.0,200900.0,3200000.0,2400000.0,38600000.0,2014.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
12,wwe,96000000,77428473662.0,wwe,70127,united states,sports,7.0,6.0,1.0,178700.0,2900000.0,2100000.0,34300000.0,2007.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
14,blackpink,89800000,32144597566.0,blackpink,543,south korea,music,32.0,1.0,3.0,124700.0,2000000.0,1500000.0,23900000.0,2016.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
16,sony sab,83000000,101000000000.0,sony sab,71270,india,entertainment,4.0,5.0,7.0,414300.0,6600000.0,5000000.0,79600000.0,2007.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
17,5-minute crafts,80100000,26236790209.0,5-minute crafts 2.0,1,united kingdom,entertainment,4057901.0,4797.0,6781.0,0.0,0.0,0.0,0.05,2020.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
18,bangtantv,75600000,20826993957.0,bangtantv,2281,south korea,music,112.0,2.0,4.0,42100.0,673200.0,504900.0,8100000.0,2012.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
20,justin bieber,71600000,30608119724.0,justin bieber,249,canada,music,38.0,1.0,6.0,44100.0,705300.0,529000.0,8500000.0,2007.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
21,hybe labels,71300000,28634566938.0,hybe labels,1337,south korea,music,46.0,3.0,5.0,149500.0,2400000.0,1800000.0,28700000.0,2008.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
22,zee tv,70500000,73139054467.0,zee tv,129204,india,entertainment,9.0,6.0,8.0,426800.0,6800000.0,5100000.0,81900000.0,2005.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
23,pinkfong baby shark - kids' songs & stories,68200000,38843229963.0,pinkfong baby shark - kids' songs & stories,2865,united states,education,23.0,8.0,2.0,118300.0,1900000.0,1400000.0,22700000.0,2011.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
